ID,ovder,ovizq,utero
100351HO,0,0,1
100352CP,1,0,1
100352HO,1,0,1
100369HO,0,0,0
100370HO,1,0,1
100373HO,0,0,0
100377HO,0,0,1
100387HO,1,1,1
100388HO,1,0,1
100389HO,1,0,1
100393HO,0,0,0
100394HO,1,0,1
100402HO,0,0,0
100406HO,0,0,0
100412HO,1,0,1
100413HO,1,0,1
100417HO,1,0,1
100419HO,0,0,0
100423HO,1,0,1
100424HO,0,0,0
100425HO,1,1,1
100426HO,0,0,0
100429HO,0,0,0
100430HO,0,0,1
100431HO,0,0,0
100433HO,0,0,0
100434HO,0,0,0
100435HO,1,1,1
100436HO,0,0,0
100437HO,0,0,0
100438HO,0,0,0
100439HO,0,0,0
100440HO,0,1,1
100441HO,0,0,1
100442HO,0,0,0
100443HO,0,0,0
100448HO,0,0,1
100449HO,0,0,0
100450HO,1,0,1
100451HO,0,0,1
100452HO,0,0,1
100458HO,1,1,1
100459HO,0,0,0
100460HO,0,0,1
100461HO,1,1,1
100463HO,1,0,0
100464HO,1,0,0
100476HO,1,0,1
100480HO,0,0,0
100481H,0,0,0
100481HO,1,1,1
100485HO,0,0,0
100487HO,0,0,0
100489HO,0,0,0
100496HO,0,0,0
100497HO,1,1,1
100498HO,1,1,1
100504HO,0,0,1
100505HO,1,1,1
100509HO,0,0,0
100510HO,0,0,0
10051CP,0,0,0
100520HO,1,0,0
100521HO,0,0,0
100526HO,0,0,0
100527HO,0,0,0
100529HO,1,0,1
100530HO,0,0,1
100532HO,0,0,0
100534HO,0,0,1
100539HO,0,0,1
100540HO,1,0,1
100542HO,0,0,0
100544HO,1,1,1
100551HO,0,0,1
100552HO,0,0,0
100557HO,0,0,0
100561HO,0,0,0
100563HO,0,1,1
100564HO,0,0,0
100576HO,1,0,0
100600HO,1,0,1
100602HO,1,0,1
100603HO,0,0,0
100618HO,0,0,0
100620HO,0,0,0
100621HO,1,0,1
100622HO,1,1,1
100625HO,0,0,1
100626HO,1,0,1
100629HO,0,0,1
100649HO,1,0,1
100661HO,1,0,1
100665HO,0,0,0
100669HO,1,1,1
100671HO,1,0,1
100674HO,1,0,1
100678HO,1,0,1
100681HO,1,0,1
100682HO,0,0,1
100685HO,1,0,1
100705HO,0,0,0
100707HO,1,0,1
100708HO,0,1,1
100721HO,0,0,0
100738HO,0,0,0
100743HO,0,0,1
100744HO,1,1,1
100745HO,0,1,1
100747HO,1,0,1
100764HO,1,1,1
100767HO,1,0,1
100769HO,0,0,1
100770HO,0,0,1
100783HO,0,1,0
100785HO,0,0,0
100786HO,0,0,0
100787HO,0,0,0
100788HO,1,0,1
100789HO,0,0,0
100807HO,0,0,0
100810HO,0,0,0
100811HO,0,0,0
100816HO,1,0,1
100824HO,0,0,1
100827HO,1,0,0
100844HO,1,1,1
100845HO,1,1,1
100853HO,0,0,1
100856HO,0,0,0
100859HO,1,0,1
100870HO,0,0,0
100886HO,0,1,1
100887HO,0,0,1
100889HO,1,0,1
100890HO,0,0,1
100898HO,0,0,0
100901HO,0,0,0
100902HO,0,0,1
100935HO,0,0,1
100937HO,1,0,1
100939HO,0,0,0
100941HO,1,1,1
100948HO,1,0,1
100949HO,0,0,1
100953HO,0,0,0
100955HO,1,0,0
100958HO,0,0,0
101000HO,0,0,1
101004HO,0,1,1
101005HO,0,0,0
101084CP,0,1,1
110000HO,1,0,1
110003CA,0,0,1
110008JE,0,0,0
110009HO,1,0,1
110012HO,0,0,1
110014HO,0,0,0
110015HO,0,0,0
110016HO,0,0,0
110017HO,1,0,1
110018HO,0,1,1
110019HO,0,1,1
110020HO,0,0,0
110021HO,1,1,1
110022JE,1,0,0
110023HO,1,0,1
110024HO,0,0,0
110025HO,0,0,0
110026JE,1,1,1
110027HO,1,1,1
110028HO,1,1,1
110029HO,1,0,1
110032HO,0,0,0
110033HO,1,1,1
110034HO,0,0,0
110035HO,1,0,1
110036HO,0,1,1
110037HO,1,1,1
110038HO,0,1,1
110040HO,0,0,1
110041HO,0,0,1
110044HO,1,1,1
110045HO,1,1,1
110046HO,0,0,1
110047HO,0,0,1
110049HO,0,0,0
110049JE,1,1,1
110050JE,0,1,1
110052HO,0,0,0
110053HO,1,1,1
110054HO,1,0,1
110056HO,1,1,0
110057HO,1,0,0
110057JE,0,0,0
110058HO,0,0,1
110059HO,1,0,1
110060JE,1,1,1
110061HO,1,0,1
110062HO,0,0,0
110063HO,0,0,0
110064HO,0,1,1
110065HO,1,0,1
110066HO,1,0,1
110067HO,0,1,0
110069HO,1,0,0
110070HO,0,0,1
110071HO,0,0,1
110075HO,1,0,1
110076HO,0,0,1
110078HO,0,0,1
110081HO,1,0,1
